name,author,genre,series,description
Daorn,Brandon Sanderson,fantasy,,
Darcira,Brandon Sanderson,fantasy,,
Darkness Infinity,Brandon Sanderson,fantasy,,
Darla Mee-Bim,Brandon Sanderson,fantasy,,
Darm (Mistborn),Brandon Sanderson,fantasy,,
Darm (Rithmatist),Brandon Sanderson,fantasy,,
Darriance,Brandon Sanderson,fantasy,,
Dashe,Brandon Sanderson,fantasy,,
Dashir boys,Brandon Sanderson,fantasy,,
Daughnin,Brandon Sanderson,fantasy,,
Davenport,Brandon Sanderson,fantasy,,
David Charleston,Brandon Sanderson,fantasy,,
Davim,Brandon Sanderson,fantasy,,
Davis,Brandon Sanderson,fantasy,,
Dawnslight,Brandon Sanderson,fantasy,,
Daystorm,Brandon Sanderson,fantasy,,
Dead Drop,Brandon Sanderson,fantasy,,
Dean Knighthawk,Brandon Sanderson,fantasy,,
Deathpoint,Brandon Sanderson,fantasy,,
Dechamp,Brandon Sanderson,fantasy,,
Dechane,Brandon Sanderson,fantasy,,
Dedelin,Brandon Sanderson,fantasy,,
Dedri Vasting,Brandon Sanderson,fantasy,,
Deedanor,Brandon Sanderson,fantasy,,
Deeli,Brandon Sanderson,fantasy,,
Delgo,Brandon Sanderson,fantasy,,
Delius,Brandon Sanderson,fantasy,,
Delius's son,Brandon Sanderson,fantasy,,
Delp,Brandon Sanderson,fantasy,,
Deluse Couvre,Brandon Sanderson,fantasy,,
Dem,Brandon Sanderson,fantasy,,
Demid,Brandon Sanderson,fantasy,,
Demoux,Brandon Sanderson,fantasy,,
Den,Brandon Sanderson,fantasy,,
Denise Carlson,Brandon Sanderson,fantasy,,
Dennison Crestmar,Brandon Sanderson,fantasy,,
Denshil,Brandon Sanderson,fantasy,,
Denth,Brandon Sanderson,fantasy,,
Deral,Brandon Sanderson,fantasy,,
Deral's lieutenant,Brandon Sanderson,fantasy,,
Dereth,Brandon Sanderson,fantasy,,
Derethil,Brandon Sanderson,fantasy,,
Design,Brandon Sanderson,fantasy,,
Destra,Brandon Sanderson,fantasy,,
Detor,Brandon Sanderson,fantasy,,
Devi,Brandon Sanderson,fantasy,,
Devin,Brandon Sanderson,fantasy,,
Devinshae,Brandon Sanderson,fantasy,,
Devlin Airs,Brandon Sanderson,fantasy,,
Devmrh,Brandon Sanderson,fantasy,,
Dia Vmeer,Brandon Sanderson,fantasy,,
Dialas,Brandon Sanderson,fantasy,,
Dialectur,Brandon Sanderson,fantasy,,
Diamond,Brandon Sanderson,fantasy,,
Dianil,Brandon Sanderson,fantasy,,
Didrich Calloway,Brandon Sanderson,fantasy,,
Dieno enne Calah,Brandon Sanderson,fantasy,,
Dilaf,Brandon Sanderson,fantasy,,
Dilid,Brandon Sanderson,fantasy,,
Dilisteni,Brandon Sanderson,fantasy,,
Dink,Brandon Sanderson,fantasy,,
Dio,Brandon Sanderson,fantasy,,
Diolen,Brandon Sanderson,fantasy,,
Dion,Brandon Sanderson,fantasy,,
Dion Maheras,Brandon Sanderson,fantasy,,
Diren,Brandon Sanderson,fantasy,,
Dirin,Brandon Sanderson,fantasy,,
Disten,Brandon Sanderson,fantasy,,
Dob,Brandon Sanderson,fantasy,,
Dobsi,Brandon Sanderson,fantasy,,
Dockson,Brandon Sanderson,fantasy,,
Dod,Brandon Sanderson,fantasy,,
Dodger,Brandon Sanderson,fantasy,,
Dok,Brandon Sanderson,fantasy,,
Dolimid,Brandon Sanderson,fantasy,,
Donal,Brandon Sanderson,fantasy,,
Donton,Brandon Sanderson,fantasy,,
Doomslug,Brandon Sanderson,fantasy,,
Doran,Brandon Sanderson,fantasy,,
Dorgo,Brandon Sanderson,fantasy,,
Dorise Chevalle,Brandon Sanderson,fantasy,,
Dorolin,Brandon Sanderson,fantasy,,
Dothgen,Brandon Sanderson,fantasy,,
Douglas Venture,Brandon Sanderson,fantasy,,
Dovcanti,Brandon Sanderson,fantasy,,
Dowser Maline,Brandon Sanderson,fantasy,,
Dragdown,Brandon Sanderson,fantasy,,
Drama,Brandon Sanderson,fantasy,,
Drapen,Brandon Sanderson,fantasy,,
Draulin,Brandon Sanderson,fantasy,,
Drawers,Brandon Sanderson,fantasy,,
Dreamer (character),Brandon Sanderson,fantasy,,
Dreaming-though-Awake,Brandon Sanderson,fantasy,,
Dreder,Brandon Sanderson,fantasy,,
Drehy,Brandon Sanderson,fantasy,,
Drewton,Brandon Sanderson,fantasy,,
Dridel,Brandon Sanderson,fantasy,,
Drile,Brandon Sanderson,fantasy,,
Drim,Brandon Sanderson,fantasy,,
Drlwan,Brandon Sanderson,fantasy,,
Droz,Brandon Sanderson,fantasy,,
Dru,Brandon Sanderson,fantasy,,
Druffel,Brandon Sanderson,fantasy,,
Drummer brothers,Brandon Sanderson,fantasy,,
Duane,Brandon Sanderson,fantasy,,
Dukaler,Brandon Sanderson,fantasy,,
Dukar,Brandon Sanderson,fantasy,,
Dul,Brandon Sanderson,fantasy,,
Dunny,Brandon Sanderson,fantasy,,
Durk,Brandon Sanderson,fantasy,,
Durn,Brandon Sanderson,fantasy,,
Durnash,Brandon Sanderson,fantasy,,
Durton,Brandon Sanderson,fantasy,,
Duskwatch,Brandon Sanderson,fantasy,,
Dylan,Brandon Sanderson,fantasy,,
Dym,Brandon Sanderson,fantasy,,
Dynamo,Brandon Sanderson,fantasy,,
Earless,Brandon Sanderson,fantasy,,
Edan,Brandon Sanderson,fantasy,,
Eddie Macano,Brandon Sanderson,fantasy,,
Edgard Ladrian,Brandon Sanderson,fantasy,,
Edgli,Brandon Sanderson,fantasy,,
Edip,Brandon Sanderson,fantasy,,
Edmund (Cytonic),Brandon Sanderson,fantasy,,
Edmund Sense,Brandon Sanderson,fantasy,,
Edso,Brandon Sanderson,fantasy,,
Edwarn Ladrian,Brandon Sanderson,fantasy,,
Ehelan,Brandon Sanderson,fantasy,,
Ehen,Brandon Sanderson,fantasy,,
Ekel,Brandon Sanderson,fantasy,,
El,Brandon Sanderson,fantasy,,
El Brass Bullish Dude,Brandon Sanderson,fantasy,,
Elao,Brandon Sanderson,fantasy,,
Elashe,Brandon Sanderson,fantasy,,
Elend Venture,Brandon Sanderson,fantasy,,
Elend's mother,Brandon Sanderson,fantasy,,
Eleseth,Brandon Sanderson,fantasy,,
Elhokar Kholin,Brandon Sanderson,fantasy,,
Elit Ruthar,Brandon Sanderson,fantasy,,
Eliza Marin,Brandon Sanderson,fantasy,,
Elizabeth Warner,Brandon Sanderson,fantasy,,
Elizandra Dramali,Brandon Sanderson,fantasy,,
Ellista,Brandon Sanderson,fantasy,,
Elorin,Brandon Sanderson,fantasy,,
Elors Durnsed,Brandon Sanderson,fantasy,,
Elrao,Brandon Sanderson,fantasy,,
Elthebar,Brandon Sanderson,fantasy,,
Emiline Bask,Brandon Sanderson,fantasy,,
Mrs. Emuishere,Brandon Sanderson,fantasy,,
En,Brandon Sanderson,fantasy,,
Enelan,Brandon Sanderson,fantasy,,
Enrique Estevez,Brandon Sanderson,fantasy,,
Eoden,Brandon Sanderson,fantasy,,
Eoldess,Brandon Sanderson,fantasy,,
Eondel,Brandon Sanderson,fantasy,,
Eonic,Brandon Sanderson,fantasy,,
Epinar,Brandon Sanderson,fantasy,,
Eranniv,Brandon Sanderson,fantasy,,
Eriola,Brandon Sanderson,fantasy,,
Eshava,Brandon Sanderson,fantasy,,
Eshen,Brandon Sanderson,fantasy,,
Eshonai,Brandon Sanderson,fantasy,,
Eshu,Brandon Sanderson,fantasy,,
Essu,Brandon Sanderson,fantasy,,
Estnatil,Brandon Sanderson,fantasy,,
Eth,Brandon Sanderson,fantasy,,
Ethid,Brandon Sanderson,fantasy,,
Eton,Brandon Sanderson,fantasy,,
Eusto,Brandon Sanderson,fantasy,,
Eva Winters,Brandon Sanderson,fantasy,,
Evenstrom Tekiel,Brandon Sanderson,fantasy,,
Eventeo,Brandon Sanderson,fantasy,,
Eventire,Brandon Sanderson,fantasy,,
Evi Kholin,Brandon Sanderson,fantasy,,
Evinor,Brandon Sanderson,fantasy,,
Evod Markmaker,Brandon Sanderson,fantasy,,
Exel,Brandon Sanderson,fantasy,,
Extes,Brandon Sanderson,fantasy,,
Exton L. Pratt,Brandon Sanderson,fantasy,,
Eylita Tavinar,Brandon Sanderson,fantasy,,
Fabergé,Brandon Sanderson,fantasy,,
Fabrisan,Brandon Sanderson,fantasy,,
Fafen,Brandon Sanderson,fantasy,,
Falilar,Brandon Sanderson,fantasy,,
Falksi,Brandon Sanderson,fantasy,,
Fari,Brandon Sanderson,fantasy,,
Faridai,Brandon Sanderson,fantasy,,
Father Bin,Brandon Sanderson,fantasy,,
Fatren,Brandon Sanderson,fantasy,,
Faultline,Brandon Sanderson,fantasy,,
User:Fbstj/t:char,Brandon Sanderson,fantasy,,
Febin,Brandon Sanderson,fantasy,,
Febrth,Brandon Sanderson,fantasy,,
Fed,Brandon Sanderson,fantasy,,
Fedik,Brandon Sanderson,fantasy,,
Fedre,Brandon Sanderson,fantasy,,
Fedren Aime,Brandon Sanderson,fantasy,,
Feldeu,Brandon Sanderson,fantasy,,
Felise Demoux,Brandon Sanderson,fantasy,,
Fellette Renoux,Brandon Sanderson,fantasy,,
Felt,Brandon Sanderson,fantasy,,
Felt/en,Brandon Sanderson,fantasy,,
Fen Rnamdi,Brandon Sanderson,fantasy,,
Fendin Fathvell,Brandon Sanderson,fantasy,,
Feotora,Brandon Sanderson,fantasy,,
Ferson Penrod,Brandon Sanderson,fantasy,,
FhorKood,Brandon Sanderson,fantasy,,
Fia,Brandon Sanderson,fantasy,,
Fiksin,Brandon Sanderson,fantasy,,
Fimkn,Brandon Sanderson,fantasy,,
Fin,Brandon Sanderson,fantasy,,
Finn Elstin,Brandon Sanderson,fantasy,,
First of the Sky,Brandon Sanderson,fantasy,,
Fisk,Brandon Sanderson,fantasy,,
Fitch,Brandon Sanderson,fantasy,,
Fitzroy,Brandon Sanderson,fantasy,,
Fjon,Brandon Sanderson,fantasy,,
Fladm,Brandon Sanderson,fantasy,,
Flavine,Brandon Sanderson,fantasy,,
Fleet,Brandon Sanderson,fantasy,,
Fleeta,Brandon Sanderson,fantasy,,
Flen,Brandon Sanderson,fantasy,,
Flend,Brandon Sanderson,fantasy,,
Flip,Brandon Sanderson,fantasy,,
Flog,Brandon Sanderson,fantasy,,
Florence,Brandon Sanderson,fantasy,,
Florin Malin,Brandon Sanderson,fantasy,,
Fob,Brandon Sanderson,fantasy,,
Foil,Brandon Sanderson,fantasy,,
Folsom Smedry,Brandon Sanderson,fantasy,,
Forch,Brandon Sanderson,fantasy,,
Forgeron,Brandon Sanderson,fantasy,,
Forton,Brandon Sanderson,fantasy,,
Fortuity,Brandon Sanderson,fantasy,,
Fran,Brandon Sanderson,fantasy,,
Franson,Brandon Sanderson,fantasy,,
Frava,Brandon Sanderson,fantasy,,
Freudland,Brandon Sanderson,fantasy,,
Freyja,Brandon Sanderson,fantasy,,
Fronks Vif,Brandon Sanderson,fantasy,,
Frost,Brandon Sanderson,fantasy,,
Frost/en,Brandon Sanderson,fantasy,,
Fuego,Brandon Sanderson,fantasy,,
Fyld,Brandon Sanderson,fantasy,,
Gabrathin,Brandon Sanderson,fantasy,,
Gadol,Brandon Sanderson,fantasy,,
Gagaril,Brandon Sanderson,fantasy,,
Galabris Menthon,Brandon Sanderson,fantasy,,
Galan,Brandon Sanderson,fantasy,,
Galbrometh,Brandon Sanderson,fantasy,,
Galid,Brandon Sanderson,fantasy,,
Galivan,Brandon Sanderson,fantasy,,
Galladon,Brandon Sanderson,fantasy,,
Gallam,Brandon Sanderson,fantasy,,
Gallant,Brandon Sanderson,fantasy,,
Gallingskaw,Brandon Sanderson,fantasy,,
Gangnah,Brandon Sanderson,fantasy,,
Ganlos Riera,Brandon Sanderson,fantasy,,
Gaotona,Brandon Sanderson,fantasy,,
Gare,Brandon Sanderson,fantasy,,
Garv,Brandon Sanderson,fantasy,,
Gashash-son-Navammis,Brandon Sanderson,fantasy,,
Gatrii,Brandon Sanderson,fantasy,,
